Report Date,Country,Prouduct Barcode,Flipkart ProductID,Flipkart ProductName,Category Level1,Category Level2,Category Level3,Category Level4,Site,Number Of offers,Sku Id,Brand,Product Name,Size,Color,Other Variants,Currency,Was_Price,Now Price,Discount,Shipping Cost,Product Availability,Stock Information,Seller Name,Buybox Flag,Seller Type,Min Price Flag,Limited_Stock_Info,Warranty,Warranty Period,Product Condition,Product InputUrl,Product Output Url,Timestamp,Extract Date,Category from site1,Category from site2,Category from site3,Category from site4,Category from site5,Category from site6,Fulfillment,Extra2,Extra3,Extra4
2021-12-03,Egypt,,,,,,,,Amazon.eg,0,B08DMTKZ4F,SAMSUNG, Samsung 58 Inch LED Smart TV Grey - UA58TU7000UXZN ,,,,EGP,,,,,No,0,,1,,,Currently unavailable.,,,,https://www.amazon.eg/-/en/Samsung-Inch-Smart-Grey-UA58TU7000UXZN/dp/B08DMTKZ4F?ref=SQEG-WEB-DP301,,2021-12-03 11:01,2021-12-03,Electronics,"Home Theater"","" TV & Video",TVs,,,,,Valid URLs OOS (Without price),150_EGYPT_Amazon.eg,
2021-12-03,Egypt,,,,,,,,Amazon.eg,0,B08X66XCDT,SAMSUNG," Samsung 58 Inch 4K Ultra HD Smart LED TV with Built-in Receiver"","" Black - UA58TU7000UXEG ",58 Inch,,,EGP,,,,,No,0,,1,,,Currently unavailable.,,,,https://www.amazon.eg/-/en/Samsung-Ultra-Smart-Built-Receiver/dp/B08X66XCDT?ref=SQEG-WEB-DP301,,2021-12-03 11:03,2021-12-03,Electronics,"Home Theater"","" TV & Video",TVs,,,,,Valid URLs OOS (Without price),1_EGYPT_Amazon.eg,
2021-12-03,Egypt,,,,,,,,Amazon.eg,0,B08BKHRN43,LG," LG UHD 4K TV 49 Inch UN73 Series"","" 4K Active HDR WebOS Smart AI ThinQ - 49UN7340PVC ",,,,EGP,,,,,No,0,,1,,,Currently unavailable.,,,,https://www.amazon.eg/-/en/LG-Active-WebOS-Smart-ThinQ/dp/B08BKHRN43?ref=SQEG-WEB-DP301,,2021-12-03 11:03,2021-12-03,Electronics,"Home Theater"","" TV & Video",TVs,,,,,Valid URLs OOS (Without price),168_EGYPT_Amazon.eg,
2021-12-03,Egypt,,,,,,,,Amazon.eg,0,B098WSD57W,Sony," Sony 32 Inch LED Full HD Smart TV"","" Black - KDL-32W600D ",32 inches,,,EGP,,,,,No,0,,1,,,Currently unavailable.,,,,https://www.amazon.eg/-/en/Sony-Inch-Full-Smart-Black/dp/B098WSD57W?ref=SQEG-WEB-DP301,,2021-12-03 11:03,2021-12-03,Electronics,"Home Theater"","" TV & Video",TVs,,,,,Valid URLs OOS (Without price),91_EGYPT_Amazon.eg,
2021-12-03,Egypt,,,,,,,,Amazon.eg,5,B091NXBH6P,Kamena, Kamena Bath and Shower Foam With Herbal 2 liters ,2 Liters,,,EGP,112,94.95,17.05,0,Yes,10,Amazon.eg,1,BuyBox + Retail Seller,1,In Stock.,No,,New,https://www.amazon.eg/-/en/Kamena-Bath-Shower-Herbal-liters/dp/B091NXBH6P/ref=sr_1_1?dchild=1&keywords=Kamena+Herbal+Bath+%26+Shower+Foam+-+2+Liter&qid=1633498213&sr=8-1,https://www.amazon.eg/-/en/Kamena-Bath-Shower-Herbal-liters/dp/B091NXBH6P,2021-12-03 11:03,2021-12-03,Beauty,Bath & Body,Cleansers,Shower Gels,,,,Valid URLs,211_EGYPT_Amazon.eg,
2021-12-03,Egypt,,,,,,,,Amazon.eg,5,B091NXBH6P,Kamena, Kamena Bath and Shower Foam With Herbal 2 liters ,2 Liters,,,EGP,,133.99,,21,Yes,0,Emanpharmacies,0,Market Place,0,In Stock.,No,,New,https://www.amazon.eg/-/en/Kamena-Bath-Shower-Herbal-liters/dp/B091NXBH6P/ref=sr_1_1?dchild=1&keywords=Kamena+Herbal+Bath+%26+Shower+Foam+-+2+Liter&qid=1633498213&sr=8-1,https://www.amazon.eg/-/en/Kamena-Bath-Shower-Herbal-liters/dp/B091NXBH6P,2021-12-03 11:03,2021-12-03,Beauty,Bath & Body,Cleansers,Shower Gels,,,,Valid URLs,211_EGYPT_Amazon.eg,
2021-12-03,Egypt,,,,,,,,Amazon.eg,5,B091NXBH6P,Kamena, Kamena Bath and Shower Foam With Herbal 2 liters ,2 Liters,,,EGP,,146.99,,21,Yes,0,Dr-Eman-Khatab-pharmacy,0,Market Place,0,In Stock.,No,,New,https://www.amazon.eg/-/en/Kamena-Bath-Shower-Herbal-liters/dp/B091NXBH6P/ref=sr_1_1?dchild=1&keywords=Kamena+Herbal+Bath+%26+Shower+Foam+-+2+Liter&qid=1633498213&sr=8-1,https://www.amazon.eg/-/en/Kamena-Bath-Shower-Herbal-liters/dp/B091NXBH6P,2021-12-03 11:03,2021-12-03,Beauty,Bath & Body,Cleansers,Shower Gels,,,,Valid URLs,211_EGYPT_Amazon.eg,
2021-12-03,Egypt,,,,,,,,Amazon.eg,5,B091NXBH6P,Kamena, Kamena Bath and Shower Foam With Herbal 2 liters ,2 Liters,,,EGP,,150,,21,Yes,0,original-shopping,0,Market Place,0,In Stock.,No,,New,https://www.amazon.eg/-/en/Kamena-Bath-Shower-Herbal-liters/dp/B091NXBH6P/ref=sr_1_1?dchild=1&keywords=Kamena+Herbal+Bath+%26+Shower+Foam+-+2+Liter&qid=1633498213&sr=8-1,https://www.amazon.eg/-/en/Kamena-Bath-Shower-Herbal-liters/dp/B091NXBH6P,2021-12-03 11:03,2021-12-03,Beauty,Bath & Body,Cleansers,Shower Gels,,,,Valid URLs,211_EGYPT_Amazon.eg,
2021-12-03,Egypt,,,,,,,,Amazon.eg,5,B091NXBH6P,Kamena, Kamena Bath and Shower Foam With Herbal 2 liters ,2 Liters,,,EGP,,189,,21,Yes,0,Costcoo,0,Market Place,0,In Stock.,No,,New,https://www.amazon.eg/-/en/Kamena-Bath-Shower-Herbal-liters/dp/B091NXBH6P/ref=sr_1_1?dchild=1&keywords=Kamena+Herbal+Bath+%26+Shower+Foam+-+2+Liter&qid=1633498213&sr=8-1,https://www.amazon.eg/-/en/Kamena-Bath-Shower-Herbal-liters/dp/B091NXBH6P,2021-12-03 11:03,2021-12-03,Beauty,Bath & Body,Cleansers,Shower Gels,,,,Valid URLs,211_EGYPT_Amazon.eg,
2021-12-03,Egypt,,,,,,,,Amazon.eg,4,B098WSG842,Duralex," Duralex Glass Pyrex Oval Cookware"","" Set of 3 - Clear ",,,,EGP,,440,,21,Yes,2,elaraby megahed,1,BuyBox,1,Usually ships within 2 to 3 days.,No,,New,https://www.amazon.eg/-/en/Duralex-Glass-Pyrex-Oval-Cookware/dp/B098WSG842/ref=sr_1_2?dchild=1&keywords=Duralex+Oval+Oven&qid=1633546214&sr=8-2,https://www.amazon.eg/-/en/Duralex-Glass-Pyrex-Oval-Cookware/dp/B098WSG842,2021-12-03 11:03,2021-12-03,Home & Kitchen,Kitchen,Cookware,Pots & Pans,Sets,,,Valid URLs,352_EGYPT_Amazon.eg,
